FUND CODE,ISIN,CUSIP,SEDOL,BASKET SHARES,CURRENCY CODE,CIL,TRADE COUNTRY,
FUND4,US65487X1028,65487X102,B5MDP39,52945,USD,N,US,
FUND4,US66987V1098,66987V109,2620105,21820,USD,N,US,
FUND4,CH0012032048,7110388,7110388,6822,CHF,N,CH,
FUND4,FR0000073272,B058TZ6,B058TZ6,36583,EUR,N,FR,
FUND4,FR0000121972,4834108,4834108,67353,EUR,Y,FR,
FUND4,CA81783Q1054,BRK0MM4,BRK0MM4,391583,CAD,N,CA,
FUND4,BRSULACDAM12,B27WYK0,B27WYK0,559000,BRL,Y,BR,
FUND4,US8761081012,876108101,BKXNG07,346343,USD,N,US,
FUND4,US98585L1008,98585L100,BYPHX26,98915,USD,N,US,
FUND4,US98980A1051,98980A105,BYYDFN0,87631,USD,N,US,
